"Ativo","Data","Último (R$)","Var. Dia (%)","Var. Sem. (%)","Var. Mês (%)","Var. Ano (%)","Var. 12M (%)","Val. Mín","Val. Máx","Volume"
"M1SI34","15h19","675,24","0,24","0,24","10,47","75,10","98,08","675,24","675,92","16,28 K"
"SNFF11","17h05","84,81","0,24","-0,92","-5,59","-2,64","-2,47","84,50","85,21","717,48 K"
"RNGO11","17h05","48,11","0,23","1,86","3,91","1,76","10,90","48,00","48,20","252,77 K"
"COPH34","17h05","50,01","0,22","-0,97","4,41","7,97","0,58","49,85","50,15","280,57 K"
"VINO11","17h05","5,02","0,20","-1,95","-1,57","-34,29","-38,48","5,01","5,07","1,18 M"
"CHVX34","17h10","86,21","0,20","0,95","7,76","21,72","10,59","85,60","86,21","874,02 K"
"RBRP11","17h05","50,90","0,20","-0,59","-4,86","-7,12","-1,43","50,63","51,28","2,02 M"
"TTEN3","17h07","10,22","0,20","-0,58","-9,72","-14,07","-10,43","10,13","10,27","10,26 M"
"KLBN11","17h07","20,77","0,19","0,29","-0,57","6,67","7,53","20,51","20,97","125,06 M"
"SAPR3","17h07","5,28","0,19","0,00","-7,04","-1,92","23,64","5,22","5,28","1,07 M"
"ETER3","17h00","5,30","0,19","0,57","-5,53","-35,91","-27,62","5,19","5,30","1,82 M"
"GRND3","17h05","5,31","0,19","0,38","-5,68","-21,94","-11,03","5,25","5,31","7,42 M"
"AAPL34","17h11","67,30","0,18","0,81","6,32","44,14","56,07","66,05","67,35","33,29 M"
"VLID3","17h07","22,65","0,18","-0,13","-0,22","16,53","46,51","22,31","22,79","13,71 M"
"EMAE4","17h05","39,80","0,18","0,10","2,37","-30,80","-32,74","39,80","39,80","70,99 K"
"JFLL11","15h30","69,77","0,17","-0,78","-1,33","-6,10","-4,42","69,36","69,77","151,14 K"
"ITUB4","17h07","35,16","0,17","-0,34","-2,58","9,58","39,03","34,81","35,25","1,21 B"
"SHUL4","17h07","6,14","0,16","-0,16","-0,16","-8,51","-17,03","6,05","6,15","3,28 M"
"SPYI11","17h15","119,75","0,16","0,08","6,15","36,64",,"118,65","120,05","3,59 M"
"XPSF11","17h05","6,79","0,15","0,59","-5,69","-18,39","-15,76","6,72","6,85","1,04 M"
"BIBB39","16h38","54,74","0,15","-1,03","3,97","27,35","40,90","54,50","54,74","10,65 K"
"JPPA11","16h23","82,50","0,15","0,61","-0,17","-12,98","-14,53","82,30","82,60","151,35 K"
"USAL11","17h15","14,17","0,14","-0,14","6,38","44,44","59,39","14,09","14,21","1,52 M"
"MSBR34","16h46","134,76","0,14","-2,26","19,60","54,95","104,40","134,16","134,76","6,79 M"
"D1VN34","13h56","229,31","0,14","-1,80","7,69","5,55","-5,00","228,85","229,31","4,36 K"
"RBRL11","17h06","73,60","0,14","-2,00","-5,82","-15,80","-16,50","72,77","74,32","2,12 M"
"COCA34","17h05","66,26","0,14","-0,88","0,91","42,18","49,11","64,95","66,26","2,59 M"
"VALE3","17h07","60,41","0,13","-0,23","-4,88","-15,72","7,05","59,90","60,66","1,95 B"
"M1RN34","17h10","15,30","0,13","-1,99","-16,89","-35,52","-22,14","15,06","15,34","474,25 K"
"CPTS11","17h05","7,85","0,13","1,03","0,51","-7,54","-2,97","7,80","7,89","30,72 M"
"PORT3","17h07","16,17","0,12","-9,41","-4,01","-1,16","25,05","16,00","16,30","320,06 M"
"KHCB34","16h25","50,68","0,12","-1,29","6,38","16,20","33,23","50,32","50,92","23,93 K"
"BPAC5","12h51","8,58","0,12","-0,81","-1,49","-10,86","11,15","8,55","8,58","33,58 K"
"VSHO11","16h54","69,77","0,11","-0,48","-4,95","-17,68","-10,63","69,67","70,10","123,05 K"
"SADI11","17h05","8,75","0,11","0,11","-90,21","-90,03","-89,76","8,67","8,75","656,6 K"
"HPDP11","15h53","87,80","0,11","0,31","4,50","-0,31","6,09","87,80","87,80","5,44 K"
"POMO4","17h06","8,85","0,11","-0,34","11,32","58,31","106,68","8,73","8,90","105,2 M"
"BRAP3","17h07","17,72","0,11","-0,28","-5,24","-20,02","3,57","17,58","17,72","1,11 M"
"BEES4","14h30","9,03","0,11","-1,20","-1,74","-5,44","2,07","8,93","9,03","43,27 K"
"GSGI34","16h30","98,60","0,10","-1,23","9,89","60,84","100,35","98,10","98,88","5,23 M"
"M1AA34","16h31","220,44","0,10","0,10","1,33","37,38","40,52","219,56","220,44","57,08 K"
"UTEC11","17h16","20,50","0,10","0,54","8,18","46,32","68,31","20,37","20,70","1,52 M"
"IVVB11","17h16","372,00","0,10","-0,15","6,35","44,40","58,57","368,77","373,18","83,49 M"
"N1XP34","16h11","662,64","0,10","0,10","2,00","20,10","40,16","662,64","662,64","20,52 K"
"PQDP11","16h53","2075,02","0,09","-1,19","8,02","6,75","7,18","2073,16","2147,49","461,88 K"
"ITSA4","17h07","10,63","0,09","0,19","-3,97","7,94","35,77","10,52","10,63","274,54 M"
"RAPT4","17h07","10,90","0,09","-3,63","1,11","-13,90","-0,22","10,79","11,02","67,46 M"
"CPFE3","17h07","32,73","0,09","0,40","-3,54","-7,75","8,15","32,40","32,86","162,91 M"
"BAAX39","13h32","44,26","0,09","-1,12","1,89","40,24","45,30","44,17","44,26","292,76 K"
"TECK11","17h15","88,58","0,09","0,60","9,47","59,06","81,67","88,00","89,00","1,02 M"
"OUJP11","17h00","78,56","0,09","-0,98","-0,30","-20,32","-18,18","77,81","78,65","2,7 M"
"AESB3","17h08","11,79","0,08","0,08","1,03","-3,58","11,96","11,76","11,79","249,98 M"
"RBED11","16h48","129,80","0,08","0,17","-0,15","-11,82","-7,13","129,31","130,80","118,79 K"
"E1RI34","16h03","24,20","0,08","0,58","17,25","61,65","122,98","24,20","24,20","675,52"
"CGAS5","15h28","128,00","0,08","0,08","-0,04","18,42","15,57","128,00","128,00","51,18 K"
"MAXR11","16h32","66,54","0,08","0,03","-2,92","-5,02","0,63","66,48","66,54","113,93 K"
"PVBI11","17h06","81,61","0,07","-1,15","-3,12","-20,93","-23,33","81,26","83,47","9,61 M"
"IRBR3","17h07","42,49","0,07","2,02","-5,07","-4,09","4,35","41,59","42,53","53,03 M"
"RENT3","17h07","42,55","0,07","0,71","3,78","-31,45","-15,18","41,87","42,56","401,54 M"
"CXSE3","17h07","14,30","0,07","-0,90","-1,72","17,03","37,43","14,20","14,45","87,22 M"
"TOTS3","17h07","28,85","0,07","1,09","1,02","-13,73","13,47","28,63","29,03","154,86 M"
"BMOB3","17h06","14,96","0,07","0,61","7,55","6,86","28,38","14,69","15,02","4,64 M"
"DIRR3","17h07","30,04","0,07","0,30","-0,69","44,05","93,74","29,75","30,24","155,76 M"
"XPPR11","17h00","15,45","0,06","-0,64","-6,42","-32,18","-20,85","15,09","15,45","464,07 K"
"TRIG11","17h15","38,20","0,05","0,58","-0,91","-11,68","4,26","37,79","38,20","592,51 K"
"NEOE3","17h07","19,30","0,05","0,05","-1,53","-6,07","13,31","19,12","19,38","45,05 M"
"CLSC4","17h06","79,58","0,05","-0,65","-5,26","27,03","35,91","78,65","79,58","507,05 K"
"RBRS11","11h43","41,02","0,05","-2,31","-6,79","-22,60","-24,04","41,02","41,02","139,57 K"
"BBOV11","17h15","67,75","0,04","-0,22","-1,08","-2,87","16,11","67,25","68,01","73,89 M"
"AGRO3","17h07","24,85","0,04","0,93","-1,43","-6,96","-6,34","24,55","24,91","9,96 M"
"HOME34","17h12","82,73","0,04","-1,90","5,31","40,06","64,35","81,11","82,73","257,55 K"
"RMAI11","16h53","75,50","0,03","0,16","-1,88","4,86","31,30","75,19","75,50","56,22 K"
"BAZA3","17h05","90,02","0,02","0,36","-1,19","0,26","14,89","90,00","90,02","81 K"
"ENDD11","17h05","107,03","0,02","-0,44","-1,81","12,53","18,03","107,00","107,80","328,59 K"
"BRCO11","17h05","107,17","0,02","-0,19","-3,97","-13,15","-13,07","107,00","108,00","8,45 M"
"B1PP34","17h05","44,88","0,00","0,99","4,76","9,20","-3,09","44,88","45,08","21,08 K"
"KMIC34","12h04","141,00","0,00","-0,58","17,74","70,31","71,23","141,00","141,00","564"
"FHER3","14h57","3,71","0,00","-0,27","-4,87","-49,86","-47,97","3,71","3,71","24,5 K"
"VIVR3","17h05","1,68","0,00","-1,18","-6,67","-67,38","-49,76","1,67","1,70","80,38 K"
"H1ST34","11h21","100,10","0,00","-2,44","4,89","19,29","31,83","100,10","100,10","500,5"
"FIQE3","17h06","3,85","0,00","0,00","0,79","1,92","19,61","3,80","3,86","1,27 M"
"HGCR11","17h05","100,00","0,00","-0,07","-1,72","-4,87","-4,79","99,95","100,50","4,06 M"
"BLMO11","16h21","80,99","0,00","0,00","9,82","15,70","-99,55","80,99","80,99","7,44 K"
"WEST3","15h27","0,79","0,00","-3,66","-3,66","-42,75","-35,77","0,79","0,81","25,59 K"
"BRIP11","10h00","900,00","0,00","-5,06","-3,23","-10,00","-10,00","900,00","900,00","3,6 K"
"HCHG11","11h45","68,35","0,00","0,44","-0,86","-14,56","-9,47","68,34","68,35","5,33 K"
"ALPK3","17h05","2,81","0,00","-1,40","-5,70","-41,21","-31,46","2,78","2,93","1,34 M"
"AHEB3","10h08","38,00","0,00","0,00","1,33","145,16","137,50","38,00","38,00","3,8 K"
"NINJ3","17h05","4,54","0,00","0,00","-3,40","-8,28","4,37","4,53","4,59","25,48 K"
"XPIN11","16h47","73,60","0,00","0,29","-2,43","-8,23","-10,13","73,21","73,65","1,02 M"
"JFEN3","16h53","0,28","0,00","0,00","-6,67","-86,98","-87,56","0,27","0,28","382,46 K"
"VIFI11","17h00","7,37","0,00","0,55","-4,04","-11,20","-8,79","7,27","7,37","352,9 K"
"NVRP11","16h48","149,99","0,00","0,00","48,50","-53,13","-66,67","149,99","149,99","11,24 K"
"FMOF11","11h49","40,02","0,00","0,00","-2,39","-29,78","-25,11","40,02","40,02","640,32"
"HUSC11","13h11","108,19","0,00","-2,04","-0,19","-5,92","-5,37","108,19","108,21","3,47 K"
"FNAM11","16h53","0,39","0,00","5,41","-2,50","18,18","5,41","0,37","0,39","14,5 K"
"FPNG11","14h59","250,00","0,00","0,00","25,00","193,88","190,66","250,00","250,00","1 K"
"VIUR11","17h05","6,13","0,00","0,66","-4,22","-23,38","-22,80","6,06","6,14","217,78 K"
"DMVF3","17h06","6,27","0,00","-2,34","1,13","5,73","32,28","6,23","6,42","645,58 K"
"BOVX11","17h15","13,21","0,00","-0,38","-1,42","-2,65","15,98","13,10","13,21","11,95 M"
"CGRA3","17h00","25,00","0,00","0,00","0,04","0,63","11,36","25,00","25,00","10 K"
"WIZC3","17h05","5,85","0,00","0,17","1,39","-16,79","18,53","5,79","5,89","3,1 M"
"SIMH3","17h07","5,15","0,00","0,78","-7,87","-46,52","-27,87","5,02","5,27","29,33 M"
"ENJU3","17h07","1,24","0,00","-3,13","-8,15","-26,63","-13,89","1,21","1,27","1,89 M"
"PQAG11","10h00","57,96","0,00","0,05","-0,75","-2,54","1,26","57,96","57,96","1,15 K"
"MRSA5B","15h23","28,00","0,00","0,00","0,00","25,58","22,91","28,00","28,00","8,4 K"
"DVER11","13h48","10,70","0,00","-1,02","-1,02","-7,68","9,41","10,70","10,70","537,64"
"TORD11","17h05","1,00","0,00","0,00","0,00","-54,13","-57,98","0,99","1,00","141,84 K"
"W1AB34","16h11","541,08","0,00","0,00","9,98","76,24","113,55","541,08","541,08","2,7 K"
"CRPG6","17h00","25,70","0,00","0,00","-6,34","-29,59","-32,64","25,70","25,70","7,69 K"
"CARE11","17h05","1,42","0,00","1,43","-10,69","3,65","-7,19","1,35","1,43","81,64 K"
"RBLG11","16h51","58,00","0,00","5,45","-7,94","-43,40","-42,00","55,00","58,00","12,59 K"
"GPRK34","11h59","47,40","0,00","0,85","9,22","16,52","3,29","47,40","47,40","42,64 K"
"ESGE11","17h15","9,24","0,00","-0,96","3,70","32,76","41,72","9,22","9,24","103,31 K"
"REDE3","15h32","6,84","0,00","-0,15","-1,58","9,73","30,36","6,83","6,91","49,01 K"
"QDFI11","17h15","3,70","0,00","0,82","1,37","-7,04","60,87","3,57","3,70","16,79 K"
"PATC11","17h00","33,98","0,00","-0,26","-2,91","-12,87","-53,18","33,98","33,99","388,42 K"
"FLRP11","16h32","1980,00","0,00","-1,49","4,21","-1,00","2,27","1980,00","1980,00","21,81 K"
"HSRE11","14h48","95,99","-0,01","-1,03","-0,01","-9,44","-7,70","95,99","95,99","11,44 K"
"RBHG11","16h54","80,40","-0,01","0,49","-2,50","-12,47","-11,16","80,40","80,60","483,2 K"
"SSFO34","17h10","76,34","-0,01","-0,01","12,50","31,38","65,31","74,58","76,34","4,14 M"
"HOSI11","16h11","91,98","-0,02","-0,02","-4,18","1,75","40,36","91,98","92,00","344,62 K"
"FOOD11","17h15","86,61","-0,02","-1,11","0,07","10,64","13,80","86,14","87,07","59,15 K"
"RYTT34","14h36","119,13","-0,03","-0,73","7,98","81,21","96,64","119,00","121,44","12,2 M"
"A1PA34","12h07","142,94","-0,03","1,86","14,20","-19,24","-32,60","142,94","143,46","3,72 K"
"HGLG11","17h05","155,59","-0,04","-0,78","-2,22","-3,95","-1,71","155,20","156,67","18,15 M"
"ABCB4","17h07","21,34","-0,05","0,19","-2,07","-8,75","18,39","21,11","21,42","16,47 M"
"EDGA11","16h35","18,04","-0,06","-0,82","-1,42","-15,82","-18,59","17,95","18,04","29,41 K"
"DEAI34","16h11","313,10","-0,06","-1,81","13,51","60,91","95,33","313,10","313,10","1,87 K"
"UNIP3","16h52","46,35","-0,06","-1,78","-0,75","-26,04","-20,76","45,10","46,75","628,95 K"
"IBOB11","17h16","106,16","-0,07","-0,59","-1,32","-2,89","15,49","106,16","106,16","5,48 M"
"BERK34","17h11","131,91","-0,07","-0,56","5,36","52,76","56,31","130,15","132,47","34,69 M"
"CACR11","16h46","101,23","-0,07","-0,01","-3,85","13,09","14,49","100,85","101,74","2,26 M"
"ACWI11","17h15","14,17","-0,07","-0,63","4,81","38,24","51,71","14,08","14,23","486,26 K"
"LASC11","16h09","110,89","-0,07","0,06","-0,10","4,61","9,26","110,89","110,99","869,7 K"
"CMDB11","17h16","13,47","-0,07","-0,44","-0,88","-0,37","13,29","13,43","13,52","110,78 K"
"SANB3","17h05","13,47","-0,07","-1,68","0,87","-7,01","11,47","13,40","13,55","1,16 M"
"BDEF11","17h16","118,93","-0,08","0,13","-1,00","-5,17","13,67","118,80","118,93","39,47 K"
"ABEV3","17h07","12,82","-0,08","-0,47","-1,99","-6,63","7,25","12,74","12,90","777,2 M"
"S1NN34","15h26","33,57","-0,09","-0,09","-0,20","31,01","53,07","33,57","33,57","2,01 K"
"CRFF11","17h05","77,80","-0,09","-0,22","-2,75","1,53","-3,13","75,10","77,80","3,42 K"
"ITSA3","17h07","10,58","-0,09","-0,75","-4,51","7,72","32,95","10,46","10,63","1,69 M"
"ELCI34","12h33","20,97","-0,10","-1,27","-7,54","-28,48","-25,30","20,97","20,97","210,07"
"BIVB39","17h05","83,44","-0,10","-0,38","6,76","44,23","58,94","82,80","83,92","2,37 M"
"J1NP34","16h36","223,09","-0,10","0,27","5,34","56,65","43,26","223,09","223,09","23,87 K"
"BEWU39","12h03","69,44","-0,10","1,73","1,65","31,22","37,86","69,44","69,44","2,37 K"
"B1SX34","16h50","502,49","-0,10","0,05","10,89","84,26","99,40","502,49","503,50","642,16 K"
"TSLA34","17h10","38,82","-0,10","-1,02","-12,76","1,20","16,79","38,27","38,92","51,21 M"
"CSXC34","16h22","96,20","-0,10","-0,29","2,47","14,76","27,70","95,10","96,20","54,85 K"
"HGIC11","12h32","95,90","-0,10","0,21","-3,13","-8,74","-8,67","95,90","95,90","2,11 K"
"M1NS34","16h40","38,28","-0,10","-0,83","7,11","10,51","20,87","38,28","38,28","2,28 K"
"BCSA34","17h05","28,44","-0,11","-0,94","1,72","42,49","62,03","28,29","28,71","44,14 K"
"PPEI11","16h48","94,00","-0,11","-1,05","0,37","8,92","15,93","94,00","94,45","837,24 K"
"Z1TO34","16h06","35,84","-0,11","2,75","4,34","47,31","23,01","35,84","35,84","322,56"
"M1SC34","10h58","77,92","-0,12","-0,12","9,70","24,45","41,27","77,92","77,92","155,6"
"QBTC11","17h16","23,57","-0,13","-0,67","10,71","76,16","141,99","23,14","23,70","15,06 M"
"USTK11","17h15","15,62","-0,13","0,39","8,55","46,39","67,78","15,47","15,69","937,17 K"
"RBHY11","16h35","85,01","-0,13","0,43","-0,92","-8,60","-9,51","84,18","85,84","252,47 K"
"SPXI11","17h15","361,87","-0,13","-0,28","6,20","44,34","58,55","359,10","363,17","22,3 M"
"AFHI11","17h05","94,47","-0,14","-0,62","-2,84","-5,53","-2,66","94,23","94,50","2,16 M"
"LAND3","17h06","13,57","-0,15","-0,37","11,23","-20,11","-31,94","12,87","13,65","1,02 M"
"UPSS34","14h43","46,85","-0,15","-3,00","1,06","1,31","3,81","46,60","46,85","2,43 K"
"W1MC34","16h11","603,60","-0,15","-0,59","7,57","40,82","55,38","603,60","603,60","84,24 K"
"DESK3","17h07","13,09","-0,15","-1,65","-11,73","-7,01","-11,40","12,91","13,15","2,99 M"
"W1EL34","16h11","372,59","-0,15","-0,35","7,53","71,50","78,93","372,59","372,59","23,36 K"
"IBCR11","16h51","57,20","-0,16","-1,74","-9,91","-28,01","-28,05","56,93","57,84","204,35 K"
"LOWC34","16h34","80,00","-0,16","-0,16","9,66","50,82","69,76","80,00","80,00","310,98"
"A1ZN34","17h05","73,24","-0,16","-1,21","3,90","38,02","41,33","72,94","73,57","220,61 K"
"A1MT34","17h05","104,97","-0,17","-4,86","-3,85","33,79","55,69","104,47","104,97","425,12 K"
"AURA33","17h07","22,86","-0,17","-0,17","11,78","103,12","124,75","22,55","23,27","11,68 M"
"NEWU11","16h39","78,06","-0,18","0,37","-1,18","-1,19","5,49","75,79","78,06","89,62 K"
"VITT3","17h07","5,57","-0,18","4,11","-2,11","-42,51","-42,08","5,45","5,69","10,13 M"
"SAPR4","17h07","5,57","-0,18","-0,89","-6,54","-1,34","26,88","5,54","5,61","7,98 M"
"BRSR6","17h07","11,09","-0,18","0,09","-4,15","-13,69","4,75","11,02","11,14","18,19 M"
"HGRU11","17h05","120,21","-0,18","-1,79","-1,09","-14,14","-6,87","119,98","121,44","6,29 M"
"BIEM39","16h40","54,10","-0,18","-0,46","3,34","35,17","43,33","54,10","54,14","41,75 K"
"JSAF11","17h05","90,65","-0,19","-0,65","-2,55","-10,54","-10,35","89,73","90,80","2,34 M"
"EQIX34","16h34","62,94","-0,19","-1,32","4,29","30,09","44,33","62,70","62,94","35,57 K"
"MILL11","16h40","71,75","-0,19","-0,76","8,40","40,74","52,56","71,45","71,80","138,73 K"
"EAIN34","16h11","415,33","-0,20","1,34","6,40","25,51","29,39","415,33","415,33","61,94 K"
"BOVA11","17h17","126,50","-0,20","-0,39","-1,50","-2,98","15,68","125,63","126,70","1,04 B"
"MDIA3","17h07","25,08","-0,20","0,32","-1,57","-34,77","-24,19","24,62","25,44","43,96 M"
"S1NP34","16h11","715,68","-0,20","-0,59","4,11","14,17","22,15","715,68","717,13","15,77 K"
"KNCR11","17h06","103,72","-0,20","-0,32","-2,49","-0,60","2,32","103,27","103,93","24,67 M"
"TRPL4","17h07","24,50","-0,20","0,16","0,82","-7,55","17,92","24,32","24,55","45,44 M"
"BXPO11","17h16","130,77","-0,21","0,13","-0,96","6,87","30,43","129,86","136,25","217,08 K"
"I1FO34","10h14","62,87","-0,21","-3,20","1,00","41,93","51,20","62,87","62,87","16,12 K"
"BGIP4","17h00","23,70","-0,21","-0,29","-5,20","11,74","14,06","23,70","23,70","47,47 K"
"INBR32","17h07","37,61","-0,21","0,83","3,01","38,20","73,51","37,10","37,80","55,01 M"
"CURY3","17h07","23,38","-0,21","-0,09","6,16","41,03","74,88","23,21","23,77","86,05 M"
"CLSA3","17h07","9,34","-0,21","-0,43","1,97","149,07","136,46","9,30","9,47","29,25 M"
"MCDC34","17h05","90,10","-0,22","-0,07","8,03","27,80","43,12","89,20","90,30","287,92 K"
"DEXP4","12h16","8,95","-0,22","-0,22","-1,54","-17,79","-2,53","8,95","8,95","99,62 K"
"HBRE3","17h07","4,40","-0,23","-2,65","-8,71","-27,51","-6,38","4,31","4,42","6,3 M"
"WRLD11","17h15","121,29","-0,23","-0,83","4,59","37,07","51,57","120,23","121,74","3,12 M"
"MATD3","17h06","4,33","-0,23","-1,59","-0,92","-47,50","-40,60","4,23","4,35","2,98 M"
